City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Kandrian,PG,76.32,scattered clouds,-6.2167,149.55,Kandrian Station
628,Manaure,CO,83.57,overcast clouds,11.7751,-72.4445,Hotel Palaaima
634,Gainesville,US,71.44,clear sky,29.6516,-82.3248,Stayable Select
637,Vung Tau,VN,80.65,moderate rain,10.346,107.0843,Seaside Resort
638,Sabang,ID,80.91,overcast clouds,5.8933,95.3214,Hotel Citra
640,Progreso,MX,82.51,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
641,The Valley,AI,82.54,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
642,Maamba,ZM,87.93,clear sky,-17.3667,27.15,
643,Middelburg,ZA,78.89,clear sky,-25.7751,29.4648,Oregon Place Guest House
645,Zhob,PK,79.5,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
650,Porto Novo,BJ,81.39,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
651,Tadepallegudem,IN,80.94,overcast clouds,16.8333,81.5,Hotel Selection Grand
656,Capellania,PA,82.22,overcast clouds,8.3,-80.55,Calle la cruz
662,Amuntai,ID,76.24,overcast clouds,-2.4177,115.2494,Hotel Balqis
664,Kanye,BW,84.38,clear sky,-24.9667,25.3327,The Savanna Lodge
666,Kande,TG,73.72,overcast clouds,9.9578,1.0447,
668,Epe,NG,79.9,light rain,6.5841,3.9834,MAGVILLE HOTEL
669,Kushima,JP,70.65,few clouds,31.4583,131.2333,Hanaoka
670,Bonthe,SL,76.69,moderate rain,7.5264,-12.505,Bonthe Holiday Village
672,Mineiros,BR,85.17,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
679,Kudahuvadhoo,MV,80.74,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
680,Moissala,TD,85.01,broken clouds,8.3404,17.7663,
686,Largo,US,75.94,clear sky,27.9095,-82.7873,Hampton Inn & Suites Largo
691,Ambilobe,MG,75.65,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
692,Beloha,MG,78.53,clear sky,-25.1667,45.05,
693,Catumbela,AO,75.7,light rain,-12.4314,13.5472,Hotel Do Kamgamba
