City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Lorengau,PG,-2.0226,147.2712,81.34,75,100,4.59,overcast clouds
269,Spencer,US,43.1414,-95.1444,57.7,36,92,13.8,overcast clouds
270,Lebu,CL,-37.6167,-73.65,55.6,76,100,11.95,overcast clouds
271,Vaini,TO,-21.2,-175.2,71.76,78,20,8.05,few clouds
272,Bandarbeyla,SO,9.4942,50.8122,78.31,80,16,23.38,few clouds
273,Sao Filipe,CV,14.8961,-24.4956,79.79,85,32,3.65,light rain
274,Cabo San Lucas,MX,22.8909,-109.9124,84.51,77,0,5.32,clear sky
275,Wajima,JP,37.4,136.9,68.88,75,0,3.02,clear sky
276,Pisco,PE,-13.7,-76.2167,63.01,72,99,4.61,haze
277,Guigue,VE,10.0853,-67.7792,78.62,69,100,1.81,overcast clouds
278,Pinawa,CA,50.1489,-95.8811,57.13,58,73,4.92,broken clouds
279,Halifax,CA,44.6453,-63.5724,61.21,77,0,5.75,clear sky
280,Porto Belo,BR,-27.1578,-48.5531,64.8,70,100,6.87,overcast clouds
281,Otradnoye,RU,59.7775,30.8181,48.96,91,91,5.93,overcast clouds
282,Yeppoon,AU,-23.1333,150.7333,58.78,66,23,3.69,few clouds
283,Dharchula,IN,29.85,80.5333,66.15,83,7,4.65,clear sky
284,Mahanje,TZ,-9.9333,35.3333,77.36,39,100,7.52,overcast clouds
285,Griffith,US,41.5284,-87.4237,60.48,75,0,0.0,clear sky
286,Safaga,EG,26.7292,33.9365,93.13,34,0,9.62,clear sky
287,Yar-Sale,RU,66.8333,70.8333,30.2,73,16,8.88,few clouds
288,Buala,SB,-8.145,159.5921,80.08,81,28,7.49,light rain
289,Melfi,IT,40.9965,15.6514,76.28,36,100,7.61,overcast clouds
290,Belaya Kholunitsa,RU,58.84,50.8528,37.94,95,100,6.96,overcast clouds
291,Morant Bay,JM,17.8815,-76.4093,85.71,73,100,5.14,overcast clouds
292,Aginskoye,RU,51.1,114.53,37.8,88,89,6.53,overcast clouds
293,Touros,BR,-5.1989,-35.4608,85.05,55,59,17.63,broken clouds
294,Burnie,AU,-41.0667,145.9167,50.92,74,93,8.37,overcast clouds
295,Mangrol,IN,21.1167,70.1167,81.03,72,6,10.0,clear sky
296,Saldanha,ZA,-33.0117,17.9442,68.05,70,94,11.01,overcast clouds
297,Chara,RU,56.9064,118.2631,28.17,87,86,2.1,overcast clouds
298,Mbekenyera,TZ,-10.0,38.9833,80.11,45,42,12.06,scattered clouds
299,Tura,IN,25.5198,90.2201,76.55,89,99,3.31,overcast clouds
300,Gurjaani,GE,41.7429,45.8011,73.71,43,0,3.11,clear sky
301,Leicester,GB,52.6386,-1.1317,55.72,90,100,25.68,moderate rain
